[28-Nov-2024 08:09:15 UTC] Request Method: POST, Path: /api/resend-verification
[28-Nov-2024 08:09:55 UTC] Request Method: POST, Path: /api/resend-verification
[28-Nov-2024 08:11:03 UTC] Request Method: POST, Path: /api/resend-verification
[28-Nov-2024 08:11:56 UTC] Request Method: POST, Path: /api/resend-verification
[28-Nov-2024 08:12:38 UTC] Request Method: POST, Path: /api/resend-verification
[28-Nov-2024 08:23:11 UTC] Request Method: POST, Path: /api/resend-verification
[28-Nov-2024 08:23:22 UTC] Request Method: POST, Path: /api/resend-verification
[28-Nov-2024 08:23:43 UTC] Request Method: POST, Path: /api/resend-verification
[28-Nov-2024 08:48:47 UTC] Request Method: POST, Path: /api/resend-verification
[28-Nov-2024 08:49:59 UTC] Request Method: POST, Path: /register
[28-Nov-2024 08:50:08 UTC] Request Method: POST, Path: /register
[28-Nov-2024 08:52:41 UTC] Request Method: POST, Path: /register
[28-Nov-2024 08:56:41 UTC] Request Method: POST, Path: /register
[28-Nov-2024 08:58:19 UTC] Request Method: POST, Path: /register
[28-Nov-2024 09:00:20 UTC] Request Method: POST, Path: /register
